Time,X,Y
0.63,2.320936587888605,0.7741420878886047
0.635,2.3393567195385145,0.7615380945385144
0.64,2.357776851188424,0.7486888511884238
0.645,2.3761969828383336,0.735594357838333
0.65,2.3946171144882435,0.7222546144882434
0.655,2.413037246138153,0.7086696211381525
0.66,2.4314573777880626,0.6948393777880622
0.665,2.449877509437972,0.6807638844379715
0.67,2.4682976410878816,0.666443141087881
0.675,2.486717772737791,0.6518771477377907
0.68,2.5051379043877007,0.6370659043877
0.685,2.52355803603761,0.6220094110376095
0.6900000000000001,2.54197816768752,0.6067076676875196
0.6950000000000001,2.5603982993374297,0.5911606743374289
0.7000000000000001,2.578818430987339,0.5753684309873384
0.705,2.5972385626372483,0.5593309376372484
0.71,2.615658694287158,0.5430481942871577
0.715,2.6340788259370673,0.5265202009370675
